,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,price,1h%,24h%,7d%,30d%,60d%,90d%
10,1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89131116221.95552,89131116935.40005,True,,11,71659659264.0,5995258414.738026,,2023-09-24T00:34:00.000Z,0.08366294894943621,116139272.78973046,-27.0371,0.0263069,0.24213936,0.29445607,9.08483441,2.18425057,14.35312144,7456972026.2837305,0.7069,7456972085.97,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,0.08366294894943621,0.0263069,0.24213936,0.29445607,9.08483441,2.18425057,14.35312144
11,4943,Dai,DAI,multi-collateral-dai,2608,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-24T00:34:00.000Z,1.0002180881002556,107421506.0095521,51.4695,0.00979044,-0.00370742,0.05591101,0.07217301,0.10871045,0.06276556,5349054906.610632,0.5072,5349054906.61,,2023-09-24T00:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-24 03:35:45.918479,1.0002180881002556,0.00979044,-0.00370742,0.05591101,0.07217301,0.10871045,0.06276556
12,6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1255766661.8028378,1358821612.3689928,True,,13,,,,2023-09-24T00:34:00.000Z,4.030601568434824,58896666.17966605,-29.2188,-0.00889848,-0.02089706,-3.33447448,-8.54163837,-22.04150617,-22.50874887,5061495076.6506815,0.4798,5476868522.04,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,4.030601568434824,-0.00889848,-0.02089706,-3.33447448,-8.54163837,-22.04150617,-22.50874887
13,3890,Polygon,MATIC,polygon,963,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-24T00:34:00.000Z,0.5209672395758416,130760594.7762281,-21.3981,0.11375596,-0.35770123,-0.66991362,-4.36798485,-26.11370934,-21.58048115,4855138075.337807,0.4602,5209672395.76,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,0.5209672395758416,0.11375596,-0.35770123,-0.66991362,-4.36798485,-26.11370934,-21.58048115
14,2,Litecoin,LTC,litecoin,1003,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73686114.22743528,84000000.0,False,,15,,,,2023-09-24T00:34:00.000Z,65.06349018383854,239246453.19678748,-13.3039,0.08483551,0.65467859,0.01578415,0.69598585,-27.36336637,-26.65721078,4794275769.72194,0.4544,5465333175.44,,2023-09-24T00:34:00.000Z,,,,,,2023-09-24 03:35:45.918479,65.06349018383854,0.08483551,0.65467859,0.01578415,0.69598585,-27.36336637,-26.65721078
0,1,Bitcoin,BTC,bitcoin,10476,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19494150.0,19494150.0,False,,1,,,,2023-09-24T00:35:00.000Z,26576.378993152593,7318803249.103994,-30.2778,0.00783417,-0.05454256,0.21438035,1.73151078,-8.85454078,-12.98817643,518083918549.3656,49.1085,558103958856.2,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,26576.378993152593,0.00783417,-0.05454256,0.21438035,1.73151078,-8.85454078,-12.98817643
1,1027,Ethereum,ETH,ethereum,7430,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228897.04677047,120228897.04677047,True,,2,,,,2023-09-24T00:35:00.000Z,1593.6696743139057,2020078412.5371678,-41.2577,0.08008663,-0.16631654,-2.10448068,-3.85849661,-14.09253041,-16.14111894,191605147199.6468,18.162,191605147199.65,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,1593.6696743139057,0.08008663,-0.16631654,-2.10448068,-3.85849661,-14.09253041,-16.14111894
2,825,Tether USDt,USDT,tether,62728,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41498,86426198725.00061,True,,3,,,,2023-09-24T00:35:00.000Z,1.0001753850607968,11943456944.661995,-27.0405,-0.00121742,0.01425584,-0.02319447,0.0773376,0.01909973,-0.03733283,83218334461.72356,7.8901,86441356589.12,,2023-09-24T00:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-24 03:36:49.368464,1.0001753850607968,-0.00121742,0.01425584,-0.02319447,0.0773376,0.01909973,-0.03733283
3,1839,BNB,BNB,bnb,1635,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847448.4919702,153847448.4919702,False,,4,,,,2023-09-24T00:35:00.000Z,210.55123397073234,214382656.92829928,-21.7976,0.00654075,-0.43526968,-1.84250118,-3.72504645,-11.38777774,-11.9679814,32392770123.233013,3.0712,32392770123.23,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,210.55123397073234,0.00654075,-0.43526968,-1.84250118,-3.72504645,-11.38777774,-11.9679814
4,52,XRP,XRP,xrp,1097,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-24T00:35:00.000Z,0.5091843347496078,383236761.55103165,-45.9272,0.28676802,-0.56007216,2.35679101,-1.76633574,-27.98259404,3.94018589,27111642244.444607,2.5699,50918433474.96,,2023-09-24T00:35:00.000Z,,,,,,2023-09-24 03:36:49.368464,0.5091843347496078,0.28676802,-0.56007216,2.35679101,-1.76633574,-27.98259404,3.94018589
